ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
NapTol_Functional_sc_23_15	128	14487	14615	NapTol_Functional_sc_23	14616	-		root (1)	hypothetical protein
NapTol_Functional_sc_22_0	650	7	657	NapTol_Functional_sc_22	21252	-		root (1)	hypothetical protein
NapTol_Functional_sc_22_1	599	872	1471	NapTol_Functional_sc_22	21252	+		root (1)	hypothetical protein
NapTol_Functional_sc_22_2	272	1535	1807	NapTol_Functional_sc_22	21252	-		root (1)	hypothetical protein
NapTol_Functional_sc_22_3	1520	1928	3448	NapTol_Functional_sc_22	21252	-	1.12.7.2	Bacteria (2)	Periplasmic hydrogenase (EC 1.12.7.2)
NapTol_Functional_sc_22_4	275	3441	3716	NapTol_Functional_sc_22	21252	-		root (1)	hypothetical protein
NapTol_Functional_sc_22_5	1256	4363	5619	NapTol_Functional_sc_22	21252	-		Desulfomonile tiedjei (2358)	Fe-S oxidoreductase
NapTol_Functional_sc_22_6	773	5623	6396	NapTol_Functional_sc_22	21252	-		root (1)	hypothetical protein
NapTol_Functional_sc_22_7	239	6406	6645	NapTol_Functional_sc_22	21252	-		Bacillales (1385)	SirA family protein
NapTol_Functional_sc_22_8	536	6678	7214	NapTol_Functional_sc_22	21252	-	1.8.1.14	Firmicutes (1239)	CoA-disulfide reductase (EC 1.8.1.14) / Disulfide bond regulator
NapTol_Functional_sc_22_9	302	7268	7570	NapTol_Functional_sc_22	21252	-		Anaeromyxobacter sp. Fw109-5 (404589)	transcriptional regulator, ArsR family
NapTol_Functional_sc_22_10	2051	7642	9693	NapTol_Functional_sc_22	21252	+	1.5.1.20	Bacteria (2)	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)
NapTol_Functional_sc_22_11	3740	9690	13430	NapTol_Functional_sc_22	21252	+	2.1.1.13	Proteobacteria (1224)	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)
NapTol_Functional_sc_22_12	800	13357	14157	NapTol_Functional_sc_22	21252	-		root (1)	hypothetical protein
NapTol_Functional_sc_22_13	410	14161	14571	NapTol_Functional_sc_22	21252	-		Bacteria (2)	NIL domain-containing protein
NapTol_Functional_sc_22_14	1154	14568	15722	NapTol_Functional_sc_22	21252	-		Monera	Ferredoxin oxidoreductase
NapTol_Functional_sc_22_15	1271	15876	17147	NapTol_Functional_sc_22	21252	-		Bacteria (2)	Putative GTP-binding protien TM0445
NapTol_Functional_sc_22_16	1349	17157	18506	NapTol_Functional_sc_22	21252	-	4.3.1.1	Spirochaetaceae (137)	Aspartate ammonia-lyase (EC 4.3.1.1)
NapTol_Functional_sc_22_17	1037	18496	19533	NapTol_Functional_sc_22	21252	-		Bacteria (2)	Biotin synthase related enzymes
NapTol_Functional_sc_22_18	1385	19530	20915	NapTol_Functional_sc_22	21252	-		Bacteria (2)	Thiazole biosynthesis protein ThiH
NapTol_Functional_sc_22_19	287	20887	21174	NapTol_Functional_sc_22	21252	-		Clostridia (186801)	CopG family transcripitonal regulator
NapTol_Functional_sc_21_0	1484	3	1487	NapTol_Functional_sc_21	38023	-		Clostridia (186801)	Excinuclease ABC subunit B
NapTol_Functional_sc_21_1	1340	1504	2844	NapTol_Functional_sc_21	38023	-		root (1)	hypothetical protein
NapTol_Functional_sc_21_2	182	2909	3091	NapTol_Functional_sc_21	38023	+		root (1)	hypothetical protein
NapTol_Functional_sc_21_3	113	3091	3204	NapTol_Functional_sc_21	38023	+		root (1)	hypothetical protein
NapTol_Functional_sc_21_4	296	3234	3530	NapTol_Functional_sc_21	38023	+		root (1)	hypothetical protein
NapTol_Functional_sc_21_5	638	3534	4172	NapTol_Functional_sc_21	38023	-		Bacteria (2)	Uracil-DNA glycosylase, family 4
NapTol_Functional_sc_21_6	188	4228	4416	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	predicted RNA binding protein
NapTol_Functional_sc_21_7	890	4584	5474	NapTol_Functional_sc_21	38023	-		Desulfotomaculum acetoxidans (58138)	Beta-lysine acetyltransferase (EC 2.3.1.-)
NapTol_Functional_sc_21_8	1283	5464	6747	NapTol_Functional_sc_21	38023	-	5.4.3.2	Bacteria (2)	Lysine 2,3-aminomutase (EC 5.4.3.2)
NapTol_Functional_sc_21_9	1049	7183	8232	NapTol_Functional_sc_21	38023	-		Peptococcaceae (186807)	multidrug transporter
NapTol_Functional_sc_21_10	185	8219	8404	NapTol_Functional_sc_21	38023	-		root (1)	hypothetical protein
NapTol_Functional_sc_21_11	1112	8773	9885	NapTol_Functional_sc_21	38023	-		Clostridia (186801)	Cell division topological determinant MinJ
NapTol_Functional_sc_21_12	1175	10070	11245	NapTol_Functional_sc_21	38023	-	3.4.21.102	Peptococcaceae (186807)	Carboxyl-terminal protease (EC 3.4.21.102)
NapTol_Functional_sc_21_13	197	11217	11414	NapTol_Functional_sc_21	38023	-		root (1)	hypothetical protein
NapTol_Functional_sc_21_14	1130	11458	12588	NapTol_Functional_sc_21	38023	-		Peptococcaceae (186807)	Membrane proteins related to metalloendopeptidases
NapTol_Functional_sc_21_15	890	12619	13509	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	Cell division protein FtsX
NapTol_Functional_sc_21_16	686	13493	14179	NapTol_Functional_sc_21	38023	-		Clostridia (186801)	Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)
NapTol_Functional_sc_21_17	398	14279	14677	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	phenylacetic acid degradation-like protein
NapTol_Functional_sc_21_18	2000	14748	16748	NapTol_Functional_sc_21	38023	-	3.6.1.1	Monera	Pyrophosphate-energized proton pump (EC 3.6.1.1)
NapTol_Functional_sc_21_19	227	16951	17178	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	Preprotein translocase subunit SecG (TC 3.A.5.1.1)
NapTol_Functional_sc_21_20	356	17283	17639	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	Ribosomal silencing factor RsfA (former Iojap)
NapTol_Functional_sc_21_21	251	17761	18012	NapTol_Functional_sc_21	38023	-		Bacteria (2)	RNA-binding region RNP-1
NapTol_Functional_sc_21_22	605	18112	18717	NapTol_Functional_sc_21	38023	-	2.7.7.18	Clostridia (186801)	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) ## bacterial NadD family
NapTol_Functional_sc_21_23	1118	18743	19861	NapTol_Functional_sc_21	38023	-	2.7.2.11	Bacteria (2)	Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA
NapTol_Functional_sc_21_24	1271	19895	21166	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	GTP-binding protein Obg
NapTol_Functional_sc_21_25	560	21191	21751	NapTol_Functional_sc_21	38023	-		root (1)	hypothetical protein
NapTol_Functional_sc_21_26	263	22233	22496	NapTol_Functional_sc_21	38023	-		Clostridiales (186802)	LSU ribosomal protein L27p
NapTol_Functional_sc_21_27	317	22518	22835	NapTol_Functional_sc_21	38023	-		Firmicutes (1239)	LSU ribosomal protein L21p
NapTol_Functional_sc_21_28	1559	23265	24824	NapTol_Functional_sc_21	38023	+	6.4.1.2	Bacillales (1385)	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / beta 6.4.1.2) Propionyl-CoA carboxylase 6.4.1.3)
NapTol_Functional_sc_21_29	455	24890	25345	NapTol_Functional_sc_21	38023	-		Clostridiales (186802)	Archaeal/vacuolar-type H+-ATPase subunit H
NapTol_Functional_sc_21_30	596	25386	25982	NapTol_Functional_sc_21	38023	-		Peptococcaceae (186807)	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)
NapTol_Functional_sc_21_31	962	26101	27063	NapTol_Functional_sc_21	38023	+	3.4.24.78	Clostridia (186801)	Endopeptidase spore protease Gpr (EC 3.4.24.78)
NapTol_Functional_sc_21_32	254	27482	27736	NapTol_Functional_sc_21	38023	-		Clostridia (186801)	Small acid-soluble spore protein, beta-type SASP
NapTol_Functional_sc_21_33	2078	27912	29990	NapTol_Functional_sc_21	38023	-		Bacteria (2)	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
NapTol_Functional_sc_21_34	1040	30268	31308	NapTol_Functional_sc_21	38023	-	2.4.2.11	Bacteria (2)	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
NapTol_Functional_sc_21_35	479	31312	31791	NapTol_Functional_sc_21	38023	-	2.5.1.78	Firmicutes (1239)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
NapTol_Functional_sc_21_36	1208	31822	33030	NapTol_Functional_sc_21	38023	-	4.1.99.12	Firmicutes (1239)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_21_37	620	33072	33692	NapTol_Functional_sc_21	38023	-	2.5.1.9	Clostridiales (186802)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
NapTol_Functional_sc_21_38	1076	33768	34844	NapTol_Functional_sc_21	38023	-	3.5.4.26	Clostridia (186801)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase 1.1.1.193)
NapTol_Functional_sc_21_39	653	35138	35791	NapTol_Functional_sc_21	38023	-		Clostridia (186801)	GntR family transcriptional regulator
NapTol_Functional_sc_21_40	1292	35996	37288	NapTol_Functional_sc_21	38023	-	2.3.1.16	Bacteria (2)	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase 2.3.1.9)
NapTol_Functional_sc_21_41	527	37494	38021	NapTol_Functional_sc_21	38023	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_0	431	3	434	NapTol_Functional_sc_20	34995	+	6.3.5.5	Bacteria (2)	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
NapTol_Functional_sc_20_1	1529	431	1960	NapTol_Functional_sc_20	34995	+	6.3.5.2	Bacteria (2)	GMP synthase (EC 6.3.5.2)
NapTol_Functional_sc_20_2	3203	1974	5177	NapTol_Functional_sc_20	34995	+	6.3.5.5	Bacteria (2)	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
NapTol_Functional_sc_20_3	1427	5394	6821	NapTol_Functional_sc_20	34995	+	2.4.2.14	Deltaproteobacteria (28221)	Amidophosphoribosyltransferase (EC 2.4.2.14)
NapTol_Functional_sc_20_4	203	7102	7305	NapTol_Functional_sc_20	34995	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_5	863	7423	8286	NapTol_Functional_sc_20	34995	+		Bacteria (2)	DNA methyltransferase SptAIM protects against PvuII endonuclease
NapTol_Functional_sc_20_6	770	8267	9037	NapTol_Functional_sc_20	34995	+		Bacteria (2)	DNA modification methylase
NapTol_Functional_sc_20_7	743	9132	9875	NapTol_Functional_sc_20	34995	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_8	272	9961	10233	NapTol_Functional_sc_20	34995	+		delta proteobacterium NaphS2 (88274)	toxin-antitoxin system, antitoxin component, PHD family
NapTol_Functional_sc_20_9	260	10230	10490	NapTol_Functional_sc_20	34995	+		delta proteobacterium NaphS2 (88274)	toxin-antitoxin system, toxin component, RelE family
NapTol_Functional_sc_20_10	1070	10494	11564	NapTol_Functional_sc_20	34995	-		Rhizobiales (356)	putative transposase
NapTol_Functional_sc_20_11	581	11740	12321	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_12	689	12344	13033	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_13	743	13192	13935	NapTol_Functional_sc_20	34995	-		Bacteria (2)	protein containing transposase DDE domain
NapTol_Functional_sc_20_14	431	13923	14354	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_15	275	14497	14772	NapTol_Functional_sc_20	34995	-		Bacteria (2)	transcriptional regulator, XRE family
NapTol_Functional_sc_20_16	308	14769	15077	NapTol_Functional_sc_20	34995	-		Bacteria (2)	toxin RelE
NapTol_Functional_sc_20_17	1403	15569	16972	NapTol_Functional_sc_20	34995	-	6.1.1.17	Proteobacteria (1224)	Glutamyl-tRNA synthetase (EC 6.1.1.17)
NapTol_Functional_sc_20_18	542	17148	17690	NapTol_Functional_sc_20	34995	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_19	185	17711	17896	NapTol_Functional_sc_20	34995	+		Bacteria (2)	LSU ribosomal protein L32p @ L32p, zinc-dependent
NapTol_Functional_sc_20_20	236	18130	18366	NapTol_Functional_sc_20	34995	+		Bacteria (2)	Acyl carrier protein
NapTol_Functional_sc_20_21	1241	18390	19631	NapTol_Functional_sc_20	34995	+	2.3.1.179	Bacteria (2)	3-oxoacyl- synthase, KASII (EC 2.3.1.179)
NapTol_Functional_sc_20_22	1253	19684	20937	NapTol_Functional_sc_20	34995	+	2.1.2.1	Bacteria (2)	Serine hydroxymethyltransferase (EC 2.1.2.1)
NapTol_Functional_sc_20_23	485	20962	21447	NapTol_Functional_sc_20	34995	+	3.5.4.12	Bacteria (2)	dCMP deaminase (EC 3.5.4.12) Late competence protein ComEB
NapTol_Functional_sc_20_24	461	21478	21939	NapTol_Functional_sc_20	34995	+		Bacteria (2)	Ribonucleotide reductase transcriptional regulator NrdR
NapTol_Functional_sc_20_25	638	21943	22581	NapTol_Functional_sc_20	34995	+	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
NapTol_Functional_sc_20_26	1202	22592	23794	NapTol_Functional_sc_20	34995	+	4.1.99.12	Bacteria (2)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_20_27	464	23839	24303	NapTol_Functional_sc_20	34995	+	2.5.1.9	Bacteria (2)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)
NapTol_Functional_sc_20_28	440	24390	24830	NapTol_Functional_sc_20	34995	+		Bacteria (2)	Transcription termination protein NusB
NapTol_Functional_sc_20_29	569	24799	25368	NapTol_Functional_sc_20	34995	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_30	794	25717	26511	NapTol_Functional_sc_20	34995	-		Deltaproteobacteria (28221)	Ferredoxin
NapTol_Functional_sc_20_31	593	26733	27326	NapTol_Functional_sc_20	34995	+		Firmicutes (1239)	transposase IS4 family protein
NapTol_Functional_sc_20_32	290	27417	27707	NapTol_Functional_sc_20	34995	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_33	509	27814	28323	NapTol_Functional_sc_20	34995	+		Pelodictyon phaeoclathratiforme (34090)	hypothetical protein
NapTol_Functional_sc_20_34	326	28428	28754	NapTol_Functional_sc_20	34995	+		root (1)	hypothetical protein
NapTol_Functional_sc_20_35	401	28782	29183	NapTol_Functional_sc_20	34995	+		Bacteria (2)	hypothetical protein
NapTol_Functional_sc_20_36	458	29861	30319	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_37	152	30371	30523	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_38	539	30574	31113	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_39	1172	31140	32312	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_40	479	32334	32813	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_41	1139	32954	34093	NapTol_Functional_sc_20	34995	-		root (1)	hypothetical protein
NapTol_Functional_sc_20_42	281	34292	34573	NapTol_Functional_sc_20	34995	-	1.3.8.1	Bacteria (2)	Butyryl-CoA dehydrogenase (EC 1.3.8.1)
NapTol_Functional_sc_16_0	500	1	501	NapTol_Functional_sc_16	30975	-	3.4.23.43	Bacteria (2)	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase 2.1.1.-)
NapTol_Functional_sc_16_1	266	504	770	NapTol_Functional_sc_16	30975	-		Betaproteobacteria (28216)	sugar transport PTS system phosphocarrier protein HPR
NapTol_Functional_sc_16_2	395	781	1176	NapTol_Functional_sc_16	30975	-	2.7.1.69	Desulfuromonadales (69541)	PTS system, mannose-specific IIA component (EC 2.7.1.69)
NapTol_Functional_sc_16_3	857	1183	2040	NapTol_Functional_sc_16	30975	-		Bacteria (2)	Hypothetical ATP-binding protein UPF0042, contains P-loop
NapTol_Functional_sc_16_4	959	2043	3002	NapTol_Functional_sc_16	30975	-		Bacteria (2)	HPr kinase/phosphorylase (EC 2.7.1.-) 2.7.4.-)
NapTol_Functional_sc_16_5	545	3051	3596	NapTol_Functional_sc_16	30975	-		Bacteria (2)	Ribosomal subunit interface protein
NapTol_Functional_sc_16_6	1448	3642	5090	NapTol_Functional_sc_16	30975	-		Bacteria (2)	RNA polymerase sigma-54 factor RpoN
NapTol_Functional_sc_16_7	746	5121	5867	NapTol_Functional_sc_16	30975	-		Gammaproteobacteria (1236)	Lipopolysaccharide ABC transporter, ATP-binding protein LptB
NapTol_Functional_sc_16_8	539	5848	6387	NapTol_Functional_sc_16	30975	-		Geobacter (28231)	sugar ABC transporter substrate-binding protein
NapTol_Functional_sc_16_9	581	6374	6955	NapTol_Functional_sc_16	30975	-		Geobacter lovleyi (313985)	hypothetical protein
NapTol_Functional_sc_16_10	518	7037	7555	NapTol_Functional_sc_16	30975	-	3.1.3.45	Proteobacteria (1224)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)
NapTol_Functional_sc_16_11	968	7576	8544	NapTol_Functional_sc_16	30975	-	5.3.1.13	Bacteria (2)	Arabinose 5-phosphate isomerase (EC 5.3.1.13)
NapTol_Functional_sc_16_12	821	8541	9362	NapTol_Functional_sc_16	30975	-	2.5.1.55	Bacteria (2)	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55) ## KdsA
NapTol_Functional_sc_16_13	1016	9474	10490	NapTol_Functional_sc_16	30975	+		Bacteria (2)	Holliday junction DNA helicase RuvB
NapTol_Functional_sc_16_14	701	10491	11192	NapTol_Functional_sc_16	30975	+		Desulfuromonadales (69541)	DnaA regulatory inactivator Hda (Homologous to DnaA)
NapTol_Functional_sc_16_15	1313	11257	12570	NapTol_Functional_sc_16	30975	+		Desulfuromonadales (69541)	heat shock protein DnaJ domain-containing
NapTol_Functional_sc_16_16	2342	12596	14938	NapTol_Functional_sc_16	30975	-		Desulfuromonadales (69541)	Phosphoenolpyruvate-protein phosphotransferase, nitrogen regulation associated
NapTol_Functional_sc_16_17	800	15072	15872	NapTol_Functional_sc_16	30975	+		Desulfuromonadales (69541)	TPR domain protein, putative component TonB system
NapTol_Functional_sc_16_18	1265	15955	17220	NapTol_Functional_sc_16	30975	-	2.7.2.1	Clostridia (186801)	Acetate kinase (EC 2.7.2.1)
NapTol_Functional_sc_16_19	167	17470	17637	NapTol_Functional_sc_16	30975	+		root (1)	hypothetical protein
NapTol_Functional_sc_16_20	542	17721	18263	NapTol_Functional_sc_16	30975	-		Bacteria (2)	FIG053235: Diacylglucosamine hydrolase like
NapTol_Functional_sc_16_21	1205	18263	19468	NapTol_Functional_sc_16	30975	-	4.1.99.12	Bacteria (2)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_16_22	641	19486	20127	NapTol_Functional_sc_16	30975	-	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
NapTol_Functional_sc_16_23	1103	20112	21215	NapTol_Functional_sc_16	30975	-	3.5.4.26	Bacteria (2)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase 1.1.1.193)
NapTol_Functional_sc_16_24	452	21237	21689	NapTol_Functional_sc_16	30975	-		Bacteria (2)	Ribonucleotide reductase transcriptional regulator NrdR
NapTol_Functional_sc_16_25	470	21686	22156	NapTol_Functional_sc_16	30975	-	3.5.4.12	Bacteria (2)	dCMP deaminase (EC 3.5.4.12) Late competence protein ComEB
NapTol_Functional_sc_16_26	467	22379	22846	NapTol_Functional_sc_16	30975	+		Desulfuromonadales (69541)	Cytochrome c'
NapTol_Functional_sc_16_27	398	22893	23291	NapTol_Functional_sc_16	30975	+		Bacteria (2)	response regulator receiver protein
NapTol_Functional_sc_16_28	1796	23322	25118	NapTol_Functional_sc_16	30975	+		Desulfuromonadales (69541)	methyl accepting chemotaxis protein, putative
NapTol_Functional_sc_16_29	359	25128	25487	NapTol_Functional_sc_16	30975	+		Geobacter lovleyi (313985)	sulfate transporter/antisigma-factor antagonist STAS
NapTol_Functional_sc_16_30	365	25489	25854	NapTol_Functional_sc_16	30975	+		Proteobacteria (1224)	Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY
NapTol_Functional_sc_16_31	2117	25879	27996	NapTol_Functional_sc_16	30975	+		Proteobacteria (1224)	Signal transduction histidine kinase CheA (EC 2.7.3.-)
NapTol_Functional_sc_16_32	1115	28138	29253	NapTol_Functional_sc_16	30975	+		root (1)	hypothetical protein
NapTol_Functional_sc_16_33	1349	29250	30599	NapTol_Functional_sc_16	30975	+		Desulfovibrio (872)	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)
NapTol_Functional_sc_16_34	365	30609	30974	NapTol_Functional_sc_16	30975	+		Deltaproteobacteria (28221)	Positive regulator CheA protein activity (CheW)
NapTol_Functional_sc_17_0	251	2	253	NapTol_Functional_sc_17	8025	+	3.4.23.43	Bacteria (2)	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase 2.1.1.-)
NapTol_Functional_sc_17_1	1517	250	1767	NapTol_Functional_sc_17	8025	+		Geobacter (28231)	Two-component sensor PilS
NapTol_Functional_sc_17_2	1352	1764	3116	NapTol_Functional_sc_17	8025	+		Bacteria (2)	Acetoacetate metabolism regulatory protein AtoC
NapTol_Functional_sc_17_3	1058	3117	4175	NapTol_Functional_sc_17	8025	-		Bacteria (2)	Putative DNA-binding protein cluster Type I restriction-modification system
NapTol_Functional_sc_17_4	569	4393	4962	NapTol_Functional_sc_17	8025	+		root (1)	hypothetical protein
NapTol_Functional_sc_17_5	803	5151	5954	NapTol_Functional_sc_17	8025	+		Desulfuromonadales (69541)	Thiol:disulfide interchange protein DsbC
NapTol_Functional_sc_17_6	305	6002	6307	NapTol_Functional_sc_17	8025	+		root (1)	hypothetical protein
NapTol_Functional_sc_17_7	1721	6304	8025	NapTol_Functional_sc_17	8025	+		root (1)	hypothetical protein
NapTol_Functional_sc_14_0	1160	93	1253	NapTol_Functional_sc_14	34404	-	3.6.3.3	Bacteria (2)	Lead, cadmium, zinc mercury transporting ATPase (EC 3.6.3.3) 3.6.3.5) Copper-translocating P-type 3.6.3.4)
NapTol_Functional_sc_14_1	1559	1348	2907	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_2	836	2997	3833	NapTol_Functional_sc_14	34404	-		Bacteria (2)	high-affinity iron transporter
NapTol_Functional_sc_14_3	2465	4040	6505	NapTol_Functional_sc_14	34404	+	3.6.3.3	Bacteria (2)	Lead, cadmium, zinc mercury transporting ATPase (EC 3.6.3.3) 3.6.3.5) Copper-translocating P-type 3.6.3.4)
NapTol_Functional_sc_14_4	1250	6589	7839	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_5	650	7892	8542	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_6	599	8757	9356	NapTol_Functional_sc_14	34404	+		root (1)	hypothetical protein
NapTol_Functional_sc_14_7	272	9420	9692	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_8	1520	9813	11333	NapTol_Functional_sc_14	34404	-	1.12.7.2	Bacteria (2)	Periplasmic hydrogenase (EC 1.12.7.2)
NapTol_Functional_sc_14_9	275	11326	11601	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_10	1256	12248	13504	NapTol_Functional_sc_14	34404	-		Desulfomonile tiedjei (2358)	Fe-S oxidoreductase
NapTol_Functional_sc_14_11	773	13508	14281	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_12	239	14291	14530	NapTol_Functional_sc_14	34404	-		Bacillales (1385)	SirA family protein
NapTol_Functional_sc_14_13	536	14563	15099	NapTol_Functional_sc_14	34404	-	1.8.1.14	Firmicutes (1239)	CoA-disulfide reductase (EC 1.8.1.14) / Disulfide bond regulator
NapTol_Functional_sc_14_14	302	15153	15455	NapTol_Functional_sc_14	34404	-		Anaeromyxobacter sp. Fw109-5 (404589)	transcriptional regulator, ArsR family
NapTol_Functional_sc_14_15	2051	15527	17578	NapTol_Functional_sc_14	34404	+	1.5.1.20	Bacteria (2)	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)
NapTol_Functional_sc_14_16	3740	17575	21315	NapTol_Functional_sc_14	34404	+	2.1.1.13	Proteobacteria (1224)	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)
NapTol_Functional_sc_14_17	800	21242	22042	NapTol_Functional_sc_14	34404	-		root (1)	hypothetical protein
NapTol_Functional_sc_14_18	410	22046	22456	NapTol_Functional_sc_14	34404	-		Bacteria (2)	NIL domain-containing protein
NapTol_Functional_sc_14_19	1154	22453	23607	NapTol_Functional_sc_14	34404	-		Monera	Ferredoxin oxidoreductase
NapTol_Functional_sc_14_20	1271	23761	25032	NapTol_Functional_sc_14	34404	-		Bacteria (2)	Putative GTP-binding protien TM0445
NapTol_Functional_sc_14_21	1349	25042	26391	NapTol_Functional_sc_14	34404	-	4.3.1.1	Spirochaetaceae (137)	Aspartate ammonia-lyase (EC 4.3.1.1)
NapTol_Functional_sc_14_22	1037	26381	27418	NapTol_Functional_sc_14	34404	-		Bacteria (2)	Biotin synthase related enzymes
NapTol_Functional_sc_14_23	1385	27415	28800	NapTol_Functional_sc_14	34404	-		Bacteria (2)	Thiazole biosynthesis protein ThiH
NapTol_Functional_sc_14_24	287	28772	29059	NapTol_Functional_sc_14	34404	-		Clostridia (186801)	CopG family transcripitonal regulator
NapTol_Functional_sc_14_25	689	29335	30024	NapTol_Functional_sc_14	34404	+		Bacteria (2)	Putative preQ0 transporter
NapTol_Functional_sc_14_26	401	30024	30425	NapTol_Functional_sc_14	34404	+	1.7.1.13	Bacteria (2)	NADPH dependent preQ0 reductase (EC 1.7.1.13)
NapTol_Functional_sc_14_27	1106	30710	31816	NapTol_Functional_sc_14	34404	+	3.5.4.26	Clostridia (186801)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase 1.1.1.193)
NapTol_Functional_sc_14_28	668	31801	32469	NapTol_Functional_sc_14	34404	+	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9) [Haemophilus
NapTol_Functional_sc_14_29	1241	32469	33710	NapTol_Functional_sc_14	34404	+	4.1.99.12	Firmicutes (1239)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_14_30	467	33707	34174	NapTol_Functional_sc_14	34404	+	2.5.1.78	Bacteria (2)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
NapTol_Functional_sc_15_0	425	1	426	NapTol_Functional_sc_15	31456	+		root (1)	hypothetical protein
